id,name,brand,description,category_id
9d10f3b7-e2f3-458b-9f3e-8e7eb697deb2,ADIDAS Men Barracks Premier Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
81cfe8f2-1212-4762-be13-eeb61408b339,ADIDAS Men Barricade Team 2 Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
b98dd469-994c-4566-b289-696d2058da1a,ADIDAS Men Barricade Team Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
cc61d3af-5a79-4a38-917c-de29223af5e4,ADIDAS Men Basketball Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
ab8ec91e-365d-4178-9c9b-e3e65d1cc692,ADIDAS Men Bayern Munchen Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
4ca9f79e-dcc2-45b8-8d2f-7a8320d62e81,ADIDAS Men Benton Sandals,ADIDAS,,f777c799-6b92-4fc0-b6c4-aa3f2b3b147c
09b578dc-1b9c-46c6-b922-294a241ca381,ADIDAS Men Berty Shorts,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
3052ecc0-0a16-4a85-baaf-a4f42dc41710,ADIDAS Men Blue And Back Pack,ADIDAS,,b1d2b1a5-1abd-4f77-8252-2fc82d487b4a
cb9bf341-66de-4ff4-a677-639667cc1839,ADIDAS Men Bnce Hop Tshirts,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
605efff5-200f-4f84-b402-d883c92b10de,ADIDAS Men Bnce T-Top Jackets,ADIDAS,,e7465cac-3158-42ca-8273-57d0f2dc5dfe
bed548cb-74a2-4044-b39e-026cdd982e65,ADIDAS Men Boat CC Lace Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
15703857-b574-4ce3-8fbc-787a1f430e56,ADIDAS Men Boat Cc Lace Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
f9a23dc1-56b9-44d5-ab15-51b2f27df10a,ADIDAS Men Boat Sickline Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
d5c88d39-9788-4d94-8671-422396b9e649,ADIDAS Men Bolt Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
2c58c054-06d0-41b2-8bc5-5072f671afe7,ADIDAS Men Boston Celtics T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
0d830506-96d1-4b1d-b85c-60bdca1323a2,ADIDAS Men Bounce Trainer Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
788d4eef-5db8-45b4-aa06-717af7df9123,ADIDAS Men CC Chill Sports Shoe,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
801fbe7d-a146-4dbb-997e-69e477426f22,ADIDAS Men CC Oscillate M Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
f601aeaa-75cc-445f-9f6f-e9db07926836,ADIDAS Men CC Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
68311f60-7b0b-4b07-a733-6179ff901424,ADIDAS Men CFC A JSY T-shirts,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
96768c56-125f-4eb8-a24c-27f49d47dc1a,ADIDAS Men CFC Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
2c0ac6ba-15e8-485a-8a06-aee39abecb57,ADIDAS Men Calo Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
1005f198-eb84-4184-b510-5a967a3f5fcb,ADIDAS Men Cap,ADIDAS Red,,664c4f55-92c9-462c-9d9c-63f64932bc5a
41ee72e0-784b-4138-85af-239617bb67b3,ADIDAS Men Capris,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
b5d81274-126d-4f45-a081-0446c0fbe3e5,ADIDAS Men Cargo Shorts,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
b6a12520-350f-48d0-ba86-74775a620fd5,ADIDAS Men Carlton Running Sports Shoe,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
32731491-6cb0-44d5-94e6-8db9996f2cb1,ADIDAS Men Caruvo Thong Flip Flop,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
3fa62742-bb0d-4e42-8e60-53ae749b63dd,ADIDAS Men Casual Sandals,ADIDAS,,f777c799-6b92-4fc0-b6c4-aa3f2b3b147c
ce94c63f-c946-44b7-abfa-7e9da0929394,ADIDAS Men Casual Shoes,ADIDAS,,7a0b23cf-d7a8-419b-8ca3-42114be7ff9e
37f1ae0c-f7a6-4e4a-8cca-4c3058f9cf29,ADIDAS Men Cfc Auth Hood Sweatshirts,ADIDAS,,cd6d0723-4c7e-450b-93b8-6d14ebff191b
c3a7bbe1-7754-45d8-a197-395c7b3a6c87,ADIDAS Men Cfc H Sho Shorts,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
73e500c1-a95e-4bef-9396-24c5ae773f4f,ADIDAS Men Cfc Pes Tracksuits,ADIDAS,,65c139ad-f072-40be-beaa-0d04197a9f0d
8d3c86c4-d6f1-4ef5-8989-c49b384b93ad,ADIDAS Men Check Can Shoe,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
aeb9539a-f23f-467c-94c3-ae7660054b3a,ADIDAS Men Check Sweaters,ADIDAS,,cdadab1e-4088-4636-a703-ba2ce029abdc
9bb667db-55ac-4229-b3ee-65fd36e5bd8c,ADIDAS Men Checks Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
df7792b8-26c2-4f3d-854c-faaea6ffe101,ADIDAS Men Chelsea Away Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
2881bc42-5555-43cc-949e-c4bdb8cd3066,ADIDAS Men Chelsea FC Sweatshirt,ADIDAS,,cd6d0723-4c7e-450b-93b8-6d14ebff191b
9e67bb48-fb7e-4872-8b3a-8af0c118ae09,ADIDAS Men Chelsea FC T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
1a2e2058-106c-435c-b94f-e46a34153fb1,ADIDAS Men Chelsea Home Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
117f2662-b46e-4cd1-b885-07c34f2b442f,ADIDAS Men Chelsea Shorts,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
5ce2d1f9-5c41-46aa-93d2-4e2346be912d,ADIDAS Men Cherokee Grey Sandal,ADIDAS,,f777c799-6b92-4fc0-b6c4-aa3f2b3b147c
e8963b28-a716-4c39-bf49-e816bd3c8546,ADIDAS Men Cherokee Red Sandal,ADIDAS,,f777c799-6b92-4fc0-b6c4-aa3f2b3b147c
04257833-c835-453a-b969-991ce5c4d907,ADIDAS Men Cherokee Sports Sandals,ADIDAS,,ef8c90b6-88f6-4a6b-a87b-fbf89dfc06e9
6f4d5dfb-0304-412e-9566-92d5a619836d,ADIDAS Men Chewang Flip Flops,ADIDAS,,3aa23739-d1a2-4d25-993e-0f5ed7f456a8
5a82669d-458a-44c0-b13e-31c1bb80bd12,ADIDAS Men Chicago Bulls NBA Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
0eaa49c3-aae6-43e0-a727-4c49dedfb8ee,ADIDAS Men Chicago Bulls T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
aefa0a2a-3f4b-49d6-8541-35c9fa7ca3e5,ADIDAS Men Chicane Sandals,ADIDAS,,f777c799-6b92-4fc0-b6c4-aa3f2b3b147c
